Name,Website,HQ,Type,Estimated Site Count,States,Intera ICP Score,Overall Site Quality,Recruitment Strength,Operational Maturity,Sponsor Attractiveness,Therapeutic Expertise,Historical Trials (CT.gov),Completed,Terminated/Withdrawn,Completion Rate %,Active Now,Recruiting Studies,Phase 2 Trials,Phase 3 Trials,Total Realized Enrollment,First Study Year,Years Active,Therapeutic Breadth (conditions),Performance Match Confidence,Sponsor Diversity (#),CRO Diversity (#),Repeat Sponsors (#),Industry-Sponsored Studies,Top Sponsors,Named CROs,Enrollment Velocity (inf),Startup Speed (inf),Recruitment Sophistication,Publication History (inf),CTMS,EHR,eSource,eConsent,Florence,CRIO,Clinical Conductor,RealTime,Epic,Cerner,Therapeutic Areas,Therapeutic Specialties (detail),Languages,Home Visits,Decentralized Capabilities,Number of Investigators,Approx Coordinator Count,Sponsors Worked With,CROs Worked With,Public Partnerships,Recent Hiring,Expansion,Funding,Acquisitions,Owner/Parent/Funding,Facebook Ads,Meta Pixel,Google Ads,SEO,Trial Finder,Patient Database,Recruitment Pages,Advertises Patient Recruitment,Technology Stack,Uses AI,Builds Tech Internally or Vendors,Current Recruiting Studies Visible,CEO,VP Clinical Operations,VP Site Operations,VP Recruitment/Innovation,Contact Emails,LinkedIn URL,Mentions DCT,Recruitment Capability,Notes
East Texas Cardiology PA,,Texas,Independent Site,1,Texas,5,68,62,74,68,69,192,114,22,84,52,16,15,117,754534,2000,26,161,high,70,58,23,183,Abbott Medical Devices; Pfizer; Boehringer Ingelheim; Novo Nordisk A/S; Eli Lilly and Company; Bayer,"MicroPort CRM; PPD Development, LP; Shanghai MicroPort Medical (Group) Co., Ltd.; Worldwide Clinical Trials",29021,72,0,70,,,,,,,,,,,"Cardiometabolic (cardiology/endocrinology/hepatology/renal, per ClinicalTrials.gov)",,,,,,,,,,,,,,Unknown,,,,,,,,Unknown,Unknown,Unknown,Unknown,Y,,,,,bold-HTN@estar.bio,,Unknown,4 active recruiting cardiometabolic trials (ClinicalTrials.gov),Surfaced via ClinicalTrials.gov mining (not on curated lists). 4 active recruiting cardiometabolic trials across 1 location(s). Actively-recruiting independent site = warm Intera lead; website/leadership not yet verified.
Cura Clinical Research,https://www.curaclinicalresearch.com,"Santa Clarita, California",SMO,4,California,4,68,50,73,80,74,317,145,45,76,123,50,73,234,170372,2006,20,319,low,115,71,37,310,"Hoffmann-La Roche; Pfizer; Merck Sharp & Dohme LLC; Eli Lilly and Company; Incyte Corporation; Janssen Research & Development, LLC","ICON Clinical Research; MicroPort CRM; PPD Development, LP",8519,88,29,68,Integrated CTMS/EHR solution (proprietary),Integrated with CTMS,Y (emphasis on seamless coordination),Y (patient-centered approach),,,,,,,"Dermatology, Immunology, Chronic Spontaneous Urticaria, Atopic Dermatitis, Acne, Eczema","Multi-therapeutic; Graves' disease, heart failure, alopecia areata",,Unknown (practice-based model),Y (brings trials to physician practices),Unknown (physician-partner model),3 employees; coordinator network via partners,,,,N (3 employees; declining headcount YoY),"Founded 2020; Santa Clarita, CA; active 1 trial recruiting",Unknown (unfunded per Tracxn),,Bootstrapped (Kacy Heggan founder); unfunded per Tracxn,,,,,,,Y,Y,Unknown,N,Unknown,Y,Kacy Heggan,Unknown,Unknown,Unknown,Unknown,,N,Integrates clinical trials directly into physician practices; seamless coordination; dedicated trial advocates for participants,"Founded May 26, 2020 by Kacy Heggan (CEO, Manager). SMO model bridging physicians and research. 4 California locations (Palmdale, Santa Clarita, Oxnard, Los Angeles area). Brings trials directly to physician practices with complete coordination. Early-stage company (unfunded bootstrap). Focus on dermatology/immunology. ClinicalTrials.gov signal: 3 recruiting trials across 4 location(s), states: California. Early-stage independent SMO; limited track record and recruitment infrastructure for Intera fit."
Nucleus Network,https://nucleusnetwork.com,"Melbourne, Australia (Global: US, UK)",DCT Network,1,MN (US only),3,68,39,80,86,73,347,245,22,92,72,41,34,6,78170,2007,19,261,high,235,66,53,342,"Pfizer; Syneos Health; BeiGene; Gilead Sciences; ModernaTX, Inc.; Galera Therapeutics, Inc.",IQVIA Pty Ltd; Novotech (Australia) Pty Limited; Oncocross Australia Pty Ltd.; Premier Research; Syneos Health; Syneos Heath,4114,96,29,67,,,Y,,,,,,,,"Early-phase (Phase I) clinical trials, pharmacokinetics, hepatic/renal studies","Early-phase clinical research, global trials",English + Spanish (detected),,Y,,,1000+ trials for biotech/pharma,Self-operated,,,Acquired Hammersmith Medicines Research (Aug 2025),,Hammersmith Medicines Research (2025),Blackstone (acquired Oct 2021),,,,Y,Y,,Y,N,Unknown,Unknown,Internal facility operations,Y,Teena Pisarev,Unknown,Unknown,Unknown,,https://au.linkedin.com/company/nucleus-network,N,50-bed Phase I facility in Minneapolis; specialized in-patient recruitment,"Global early-phase specialist with limited US footprint (single Minneapolis facility). PE-backed but focused on Phase I in-patient studies, not multi-site recruitment. Poor Intera fit."
Access Clinical Trials,https://www.accessclintrials.org/,"2201 Murphy Ave Ste 212, Nashville, TN 37203-1875",Independent Site,1,Tennessee,8,67,57,74,68,69,228,99,25,80,102,49,53,160,263272,2003,23,167,high,71,27,30,228,"Eli Lilly and Company; AbbVie; Sanofi; Janssen Research & Development, LLC; Shire; Gilead Sciences",IQVIA Pty Ltd; Parexel; Teva Branded Pharmaceutical Products R&D LLC,11447,90,29,67,,,Y,,,,,,,,"Multi-specialty (Advanced Solid Tumor, Breast Cancer, Colorectal Cancer, General Medicine, Phase I-IV across 23+ specialties)",Multi-specialty; Phase I-IV; diverse urban and rural patient populations,English + Spanish (detected),N,N,70+ physicians,,Multiple (not specified),,Centennial Medical Center campus location,,N (Nashville-based since 1999),,,"Independent (Founded 1999, hospital-based research center; multi-specialty TM organization)",,,,Moderate (local Nashville focus),,Y (diverse urban/rural),N,Y,Unknown (multi-specialty platform for 70+ physician groups),Unknown,Vendors,Y,"Jaclyn Brooks MHA, MS, BSN, BBA (Founder/President/CEO, founded 1999; 30+ years healthcare executive)","Newton J. Brooks PhD (VP, healthcare background)",James Brooks (VP Operations),Unknown,info@accessclintrials.org; (615) 320-6076 (provided from input: empty in input file),https://www.linkedin.com/in/jaclyn-brooks-a887a119,Unknown,"Very High - 250+ physicians/medical groups in network, 210-county catchment, top 2% enrollment performer","ClinicalTrials.gov signal: 6 recruiting trials across 1 location in Tennessee (Nashville, Centennial Medical Center campus). Founded 1999, 25+ years operation. Hospital-based research center with 250+ physician/group network supporting 70+ physicians across 23 clinical specialties. Top 2% site performer (2019-2020). Aggressive social media recruitment. Diverse urban/rural patient base. Excellent fit for Intera with multi-specialty network and strong enrollment track record."
Flourish Research,https://flourishresearch.com,"Apex, NC",Site Network,24,"Multi-state (AL, CA, FL, GA, IL, LA, MD, MI, MN, MS, NC, NJ, NY, PA, TX, and more)",8,67,75,64,65,64,161,44,11,80,106,66,56,77,295254,2008,18,189,high,73,26,28,160,"Pfizer; Eli Lilly and Company; Novartis Pharmaceuticals; Amgen; Regeneron Pharmaceuticals; ModernaTX, Inc.",Crossject; IQVIA Pty Ltd; Novotech (Australia) Pty Limited; Parexel; Premier Research; Worldwide Clinical Trials,16403,90,71,58,,,Y,,,,,,,,"Cardiometabolic, Neuroscience (Alzheimer's), Oncology, Infectious Disease, Vaccines","Cardiometabolic, oncology, neuroscience (Alzheimer's focus), infectious disease, vaccines, Phase I/First-in-human",English + Spanish (detected),,Y - multi-site national network,Multiple experienced PIs,274 employees,,,,Y - 26.3% YoY growth (+107 employees),"Acquired Diablo Clinical Research (Feb 2025), 10 states coverage","VC-backed, acquired by Genstar Capital (Sept 2024)","Excel Medical Clinical Trials (2021), Diablo Clinical Research (2025)","Genstar Capital (majority, acquired Sept 2024), NMS Capital (minority); 274 employees",Y,Y,,Y - patient-focused content pages,Y,,Y,Y,Best-in-class technology and operations systems mentioned; proprietary patient database and recruitment systems,Unknown,Builds tech internally and leverages best-in-class systems,Y,Reinhold Schulz,Unknown,"Ana T. Marquez, EVP","Brooke Evans, Chief Growth Officer",checkmann@flourishresearch.com,https://www.linkedin.com/company/flourishresearch,Unknown,"Wholly-owned multi-site network; 150+ investigators; 400,000+ patient database; 100,000+ patients enrolled across studies; best-in-class recruitment experience; top enroller across studies; diverse patient populations; Phase I-IV capabilities including first-in-human and inpatient studies; proven enrollment track record","EXCELLENT Intera fit: PE-backed (Genstar) growth-focused multi-site network with significant recruitment infrastructure. Multiple concurrent studies, proven enrollment track record, large patient database (400K+), diverse therapeutic mix including high-volume areas (cardiometabolic, vaccines). Multiple sites, multiple studies, recruitment-constrained growth model. Leadership focused on growth (Chief Growth Officer). Ideal customer profile for AI patient recruitment platform. Strong acquisition momentum. [Validated: 15 active recruiting cardiometabolic trials on ClinicalTrials.gov.]"
Retina Consultants of Texas,https://www.retinaconsultantstexas.com/,"Houston, Texas",Site Network,24,Texas,8,67,36,85,78,73,297,153,35,81,103,45,123,125,66101,1986,40,132,high,109,49,43,285,"Hoffmann-La Roche; Jaeb Center for Health Research; Genentech, Inc.; Boehringer Ingelheim; Kodiak Sciences Inc; AbbVie","Fortrea; Parexel; The Emmes Company, LLC",1653,90,43,80,RealTime,,Y,,,,,,,,"Ophthalmology, Retinal Diseases, Vitreoretinal Surgery, Diabetic Retinopathy, Macular Degeneration, Ocular Oncology, Retinal Tears/Detachments",Retina/Vitreous/Macula diseases and surgery,"English, Spanish, Mandarin, Korean, Gujarati, French, Kirundi",,N,26+ physicians,,,,Texas Retina Research Foundation (TXRRF),Y (Clinical Research Assistant positions open),Multiple locations in Houston/San Antonio areas,,,Part of Retina Consultants of America network,,,,"Active trial recruitment pages, strong web presence",Y,,Y,Y,Unknown,Unknown,Unknown,Y,Unknown,Unknown,Unknown,Sara Barbatano (COO),clinicaltrials@regenerativepatch.com,https://www.linkedin.com/company/retina-consultants-of-texas,N,"High - 23 recruiting trials, 190+ active clinical trials, 100,000+ annual patient visits","23 recruiting trials across 8 location(s), states: Texas. One of largest retina-only practices in US with 24 convenient locations across Houston and San Antonio metro areas. 190+ active clinical trials, 100,000+ annual patient visits. Founded 1988. President: Richard Fish. Strong research and innovation focus."
Urology Alliance Research,https://urologyalliance.com,"Unknown (multi-state physician-led network, integrated with Solaris Health)",Site Network,650+,Multi-state (national physician-led network),8,67,50,76,67,79,227,96,22,81,106,33,81,114,198057,1999,26,854,high,64,43,25,178,National Cancer Institute (NCI); SWOG Cancer Research Network; Alliance for Clinical Trials in Oncology; ECOG-ACRIN Cancer Research Group; Pfizer; NRG Oncology,Ethicon Endo-Surgery; PRA Health Sciences; Worldwide Clinical Trials,7618,90,29,77,,,Y,,,,,,,,"Full spectrum urology: BPH, bladder cancer, prostate cancer, kidney conditions, female urology, overactive bladder, reproductive health, urologic oncology","Urology, urinary health, pelvic floor, fertility, sexual health, urologic cancers",English + Spanish (detected),,,Physician-led network,,,,Solaris Health integration,,Integrating Solaris Health,,,Integrated with Solaris Health (part of larger healthcare network),,,,,Y,,,Y,"Centralized research infrastructure, advanced imaging (PET, CT, MRI, X-ray), dedicated research coordinators",N,Vendors,Y,Unknown,Unknown,Unknown,Unknown,,https://www.linkedin.com/company/urology-alliance,N,"High-volume physician-led practices with centralized research infrastructure, standardized processes, accelerated site activation and enrollment","Large multi-state physician-led network with robust research capabilities and broad therapeutic coverage. Strong focus on trial execution efficiency and enrollment. Centralized coordination across 650+ physicians enables national recruitment. Excellent fit for Intera platform given size, geography, and research orientation."
Headlands Research,https://headlandsresearch.com,"Lake Worth, FL",Site Network,15+,"Multiple (FL, CA, CO, NE, TX, and Canada)",7,67,80,64,60,60,188,81,18,82,87,47,62,101,445725,2017,9,129,high,60,18,24,184,"Eli Lilly and Company; Pfizer; Novo Nordisk A/S; ModernaTX, Inc.; AbbVie; Merck Sharp & Dohme LLC",Worldwide Clinical Trials,49525,91,57,50,Unknown (proprietary),Proprietary EHR partnerships; referral access,Y,Y,,,,,,,"CNS, mental health, vaccines, metabolic, cardiovascular, dermatology, GI, oncology, orthopedics, pediatrics, multiple others","CNS, mental health, vaccines, metabolism/endocrinology, oncology, cardiology, dermatology, immunology, infectious disease",English,,"Y; eSource, eRegulatory, real-time data access",50+,550+ clinical research professionals,Multiple pharma sponsors,Multiple CROs,None listed,Y; Clinical site managers and research coordinators,Y; 20+ sites; THL acquisition from KKR (Aug 2025); clinical trials research acquisition (June 2026),THL Partners majority acquisition from KKR (Aug 2025),"Clinical Trials Research (Sacramento/Lincoln, CA, June 2026); acquired by THL","THL Partners (acquiring from KKR, August 2025)",,,,Strong; Comprehensive capabilities and site pages,Y,"Y; 130,000+ participants",Y,Y,Not explicitly mentioned,N,Unknown,Y,Kyle Burtnett,Unknown,Unknown,Lauren Chazal (Chief Business Development Officer),kyle.burtnett@headlandsresearch.com; lauren.chazal@headlandsresearch.com,https://www.linkedin.com/company/headlands-research,N,Large-volume recruitment and retention of diverse populations; established site database and physician partnerships,"Multinational integrated site network, 550+ clinical staff, 5,000+ trials completed. Acquired by THL Partners (growth signal). Multiple states/Canada. Strong on diverse population recruitment. Limited visible tech innovation. Fit: Good multi-site volume, acquisition/growth trajectory, diverse therapeutic areas, but lacks visible tech/recruitment marketing. [Validated: 10 active recruiting cardiometabolic trials on ClinicalTrials.gov.]"
Texas Digestive Disease Consultants,https://tddctx.com/,"Southlake, Texas",Hybrid,20,"Texas, Louisiana",7,67,61,75,65,65,193,103,34,75,52,22,73,103,270441,2000,26,116,high,63,26,27,192,AbbVie; Gilead Sciences; Bristol-Myers Squibb; Pfizer; Hoffmann-La Roche; Takeda,"ICON Clinical Research; PPD, Part of Thermo Fisher Scientific; Premier Research; Teva Branded Pharmaceutical Products R&D LLC",10402,88,43,68,,,Y,,,,,,,,"Gastroenterology, Celiac Disease, Crohn's Disease, Ulcerative Colitis, Eosinophilic Esophagitis, GI/Liver Disorders","Gastroenterology: celiac disease, C. difficile, Crohn's disease, eosinophilic esophagitis, ulcerative colitis",English + Spanish (detected),N,N,159+,,Multiple (160+ active trials),,GI Alliance (Waud Capital 2018; Cardinal Health 2024),Y (clinical research positions),Y (Cardinal Health acquisition 2024; new sites 2025),PE (Cardinal Health majority stake 2024),Acquired by Cardinal Health Nov 2024,"Part of GI Alliance network; GI Alliance acquired by Cardinal Health (majority stake, Nov 2024); TDDC founded by Dr. James Weber",,,,"Y (160+ active trials, strong organic presence)",Y,,Y,Y,,N,,Y,"Dr. James Weber (Founder of TDDC, CEO of GI Alliance parent)",Unknown,Unknown,Unknown,unitedstates@bitrialsupport.com,,N,High - 160+ active clinical trials across GI Alliance network; mature GI research program,"Part of GI Alliance, nation's largest independent gastroenterology provider network (founded 2018 by TDDC founder Dr. Weber). CTGOV signal: 12 recruiting trials across 5 TDDC locations in Texas/Louisiana. Cardinal Health acquisition (Nov 2024) indicates growth trajectory. High-volume GI recruitment strong signal for Intera."
Iowa Diabetes and Endocrinology Research Center,https://www.iowadiabetes.com/,Iowa,Independent Site,1,Iowa,6,67,78,71,57,58,170,103,21,83,44,22,36,102,297757,2002,24,76,high,52,19,18,164,"Eli Lilly and Company; Novo Nordisk A/S; Jaeb Center for Health Research; Boehringer Ingelheim; Medtronic MiniMed, Inc.; Pfizer","MacroGenics; Medpace, Inc.",12407,72,86,60,,,Y,,,,,,,,"Diabetes, Endocrinology, Obesity, Metabolic Disorders","Diabetes, Type 1 & Type 2, Obesity, Metabolic disorders",,,,"Multiple; Dr. Anuj Bhargava, MD founder",,"Eli Lilly (Tirzepatide/LY3298176), multiple others",,University of Iowa (FOE Diabetes Research Center),,,FOE (Fraternal Order of Eagles) $25M pledge to U of Iowa DRC,,Independent (LLC),Y (Meta Pixel detected),Y,Y,Strong organic presence; active trial recruitment,Y,,Y,Y,Technology-driven diabetes care platform,Unknown,Y,Y,"Anuj Bhargava, MD, MBA, CDCES, FACP, FACE (Founder)",Unknown,Unknown,Unknown,choffman@iderc.com,https://www.linkedin.com/company/iowa-diabetes-&-endocrinology-research-center-p.l.c.,N,High - Research-focused with 100+ years combined expertise,"Founded 1994. ClinicalTrials.gov validation: 8 active recruiting cardiometabolic trials. 230+ clinical trials conducted. Founder-led with strong mission focus on diabetes research and technology. Team-based, technology-driven approach. Single location but high volume recruitment."
Tennessee Oncology,https://tennesseeoncology.com,"Nashville, TN",Site Network,35+,TN (primarily; 35+ clinic locations),6,67,29,82,83,82,343,176,68,72,88,44,149,122,103727,1994,32,572,high,138,83,41,316,"SCRI Development Innovations, LLC; National Cancer Institute (NCI); Pfizer; Alliance for Clinical Trials in Oncology; Children's Oncology Group; AbbVie",Clinipace Worldwide; ICON Clinical Research; MacroGenics,3241,86,0,85,,,Y,,,,,,,,"Oncology (primary): medical, radiation, surgical; also drug development programs","Oncology (Breast, Blood Cancers, Gynecologic, Hematology, Medical Oncology, Radiation Oncology, Palliative Care)",English + Spanish (detected),,Y - Greco-Hainsworth Centers with 35 clinic locations for decentralized access,"105 physicians (75 MO, 24 RO, 2 Palliative, 2 GYN)",20+ research professionals (early-phase unit),Multiple (names not disclosed),,Greco-Hainsworth Centers for Research division,Y - early-phase unit launched (Nov 2025),Y - expanded from 18 to 35 clinic locations for research,,,Independent community oncology practice,,,,Y - blog with research updates,,,,N,Unknown,Unknown,Unknown,Unknown,"Natalie Dickson, M.D.",Kathy McGee (Chief Clinical Operations Officer),Susan Frailley (Chief Operations Officer),Unknown,1-877-836-6662,https://www.linkedin.com/company/tennessee-oncology,N,Clinical research/trial capability; 35+ clinics enable broad patient access,"Large oncology-focused network (35+ clinics, 500+ employees); established legacy provider (40+ years); broad clinical infrastructure but primarily cancer-focused. Moderate Intera fit—large site network with operational scale, but specialty-focused (oncology limits therapeutic breadth), does not actively advertise patient recruitment services. Not growth-focused; established healthcare provider model."
